competitor_place_id,competitor_name,included,exclusion_reason
ChIJkUYZJK5nXj4RiJ9Ku8bXwdM,Its Beauty Ladies Salon – Waterfront Tower A,True,
ChIJB9zGLKB19j4RHdhZF7f6m8o,Shades Salon & SPA,True,
ChIJtfAQuSFmXj4RYGR1F27FebY,Ultra Care Medical Center,False,MEDICAL
ChIJDQe8QABDXz4Rs71Rlun-et0,Beauty Wise Medical Center,False,MEDICAL
ChIJ1WFkRoJfXz4RhRGLtbve9hM,Grand Flora Beauty Salon & Spa,True,
ChIJH49iOmlmXj4RrwhtAw9IvXQ,Stop Relax Spa Thai Massage,True,
ChIJa4CFpv1rXz4Rb8J-J6i-ArI,Afrina Beauty Club Al Barsha,True,
ChIJfVIQSThZXz4RHLspfKq_lgU,Dr Sunny,False,MEDICAL
ChIJX26wLTpmXj4RxpXQo1s3Zjk,The One Spa For Men - Abu Dhabi,False,MEN_OR_BARBER
ChIJK-7lVO1tXz4RMr9whME7dJY,Ombre Salon JVC,True,
ChIJ3UyUvGJpXz4RWXFFqOvuOf0,La Vida Clinic,False,MEDICAL
ChIJ3SEIKAtDXj4R-KbBxJRio3I,Mikas Beauty Salon,True,
ChIJV8xH9xZnXz4Rzp-5IMdmyCY,Beauty Room Salon & Spa,True,
ChIJzynOTXJtXz4R-WtRuvgtE5Y,Casa Rio Beauty Salon,True,
ChIJM2qkPaZsXz4RMU_zlomoV4g,The Gentlemen's Barber Shop - Dubai,False,MEN_OR_BARBER
